year_month,permit_unadjusted,permit_adjusted,state,year,month,month.num,population,guns_per_thousand,guns_sold,multiplier,instore_purchases,handgun,longgun,other,multiple,multiple_corrected,admin,prepawn_handgun,prepawn_longgun,prepawn_other,redemption_handgun,redemption_longgun,redemption_other,returned_handgun,returned_longgun,returned_other,rental_handgun,rental_longgun,private_handgun,private_longgun,private_other,privatereturn_handgun,privatereturn_longgun,privatereturn_other,totals
2004-02,4721,4034.744544,Iowa,2004,February,02,3074186,1.143587278,3514,1.1,3196,33,3149,,7,7,27,0,5,,2,211,,,,,,,,,,,,,8155
2006-10,4698,4581.9625,Iowa,2006,October,10,3074186,2.048151934,6296,1.1,5724,24,5694,,3,3,0,0,1,,3,153,,,,,,,,,,,,,10576
2007-11,4686,4590.786002,Iowa,2007,November,11,3074186,2.468946251,7589,1.1,6900,33,6855,,6,6,0,1,2,,1,139,,,,,,,,,,,,,11723
2000-12,4677,3331.241532,Iowa,2000,December,12,3074186,2.148341057,6604,1.1,6004,20,5984,,0,0,13,,,,,,,,,,,,,,,,,,10694
1999-03,4647,3671.984572,Iowa,1999,March,03,3074186,1.089556715,3349,1.1,3045,55,2984,,3,3,2,,,,,,,,,,,,,,,,,,7691
2007-04,4638,4787.136435,Iowa,2007,April,04,3074186,0.938199575,2884,1.1,2622,22,2594,,3,3,0,0,0,,0,80,,,,,,,,,,,,,7337
2002-03,4612,3892.630462,Iowa,2002,March,03,3074186,1.101364719,3385,1.1,3078,19,3055,,2,2,3,0,2,,4,181,,,,,,,,,,,,,7878
2001-11,4605,4331.660323,Iowa,2001,November,11,3074186,2.363747672,7265,1.1,6606,34,6560,,6,6,2,0,4,,5,202,,,,,,,,,,,,,11418
2008-09,4578,5520.166501,Iowa,2008,September,09,3074186,1.33859825,4115,1.1,3741,17,3724,,0,0,0,0,0,,1,106,,,,,,,,,,,,,8426
2006-11,4572,4491.63857,Iowa,2006,November,11,3074186,2.56591501,7887,1.1,7171,20,7141,,5,5,0,0,0,,3,125,,,,,,,,,,,,,11866
2004-10,4514,4551.203017,Iowa,2004,October,10,3074186,2.178039976,6694,1.1,6087,24,6047,,8,8,0,0,0,,2,228,,,,,,,,,,,,,10823
1999-02,4459,3853.792872,Iowa,1999,February,02,3074186,0.98972541,3041,1.1,2766,60,2692,,7,7,4,,,,,,,,,,,,,,,,,,7222
2009-08,4451,6569.92159,Iowa,2009,August,08,3074186,0.948934124,2916,1.1,2652,32,2608,15,6,6,0,0,2,,3,96,,,,,,,,,,,,,7213
2009-07,4411,6249.065931,Iowa,2009,July,07,3074186,0.639779116,1966,1.1,1788,29,1747,13,6,6,0,0,1,,0,102,,,,,,,,,,,,,6309
2005-11,4399,4338.612207,Iowa,2005,November,11,3074186,2.762357255,8491,1.1,7720,26,7684,,5,5,0,0,0,,7,159,,,,,,,,,,,,,12280
2001-02,4338,3708.142443,Iowa,2001,February,02,3074186,0.983284681,3022,1.1,2748,23,2719,,3,3,17,,,,,,,,,,,,,,,,,,7100
2000-10,4331,3785.669318,Iowa,2000,October,10,3074186,2.242447269,6893,1.1,6267,36,6225,,3,3,25,,,,,,,,,,,,,,,,,,10620
2008-05,4277,5241.679996,Iowa,2008,May,05,3074186,0.669478034,2058,1.1,1871,30,1841,,0,0,0,0,0,,1,104,,,,,,,,,,,,,6253
2000-11,4233,4041.626153,Iowa,2000,November,11,3074186,2.524050269,7759,1.1,7054,45,7001,,4,4,15,,,,,,,,,,,,,,,,,,11298
